"Authority","Gender","Count"
"VIAF ID","male","11021"
"ISNI","male","9298"
"WorldCat Identities ID","male","9132"
"Library of Congress authority ID","male","8349"
"GND ID","male","8158"
"NUKAT ID","male","7592"
"Nationale Thesaurus voor Auteurs ID","male","6941"
"Bibliothèque nationale de France ID","male","5533"
"VIAF ID","female","5204"
"NKCR AUT ID","male","4821"
"Deutsche Biographie (GND) ID","male","4763"
"PLWABN ID","male","4156"
"ISNI","female","3942"
"WorldCat Identities ID","female","3533"
"Library of Congress authority ID","female","3455"
"GND ID","female","3363"
"SHARE Catalogue author ID","male","3277"
"Vatican Library VcBA ID","male","3030"
"NUKAT ID","female","2960"
"American Academy in Rome ID","male","2825"
"IxTheo authority ID","male","2664"
"NORAF ID","male","2474"
"Nationale Thesaurus voor Auteurs ID","female","2327"
"Unione Romana Biblioteche Scientifiche ID","male","2223"
"Bibliothèque nationale de France ID","female","2191"
"National Library of Israel J9U ID","male","2080"
"Open Library ID","male","2073"
"abART person ID","male","2007"
"Vatican Library ID (former scheme)","male","1904"
"CONOR.SI ID","male","1747"
"NKCR AUT ID","female","1709"
"Kallías ID","male","1525"
"Deutsche Biographie (GND) ID","female","1452"
"RERO ID","male","1417"
"CiNii author ID (books)","male","1385"
"NLA Trove people ID","male","1234"
"National Library of Israel ID (old)","male","1201"
"PLWABN ID","female","1179"
"Svenska Institutet i Rom ID","male","1057"
"SEARCH on line catalogue ID","male","1042"
"NORAF ID","female","1021"
"SHARE Catalogue author ID","female","1011"
"Libraries Australia ID","male","989"
"University of Barcelona authority ID (obsolete)","male","953"
"Prabook ID","male","946"
"CANTIC ID","male","938"
"SBN author ID","male","937"
"Persée author ID","male","918"
"American Academy in Rome ID","female","910"
"CANTIC ID (old)","male","891"
"LNB ID","male","884"
"NLP ID (old)","male","868"
"IxTheo authority ID","female","846"
"Babelio author ID","male","827"
"National Library of Israel J9U ID","female","823"
"abART person ID","female","822"
"RERO ID","female","819"
"SNAC ARK ID","male","808"
"Vatican Library VcBA ID","female","795"
"SELIBR ID","male","776"
"Canadiana Name Authority ID","male","766"
"Libris-URI","male","758"
"CERL Thesaurus ID","male","733"
"Pontificio Istituto di Archeologia Cristiana ID","male","717"
"Rijksmuseum Research Library authority ID","male","696"
"CONOR.SR ID","male","684"
"openMLOL author ID","male","681"
"Geni.com profile ID","male","681"
"CONOR.SI ID","female","653"
"CiNii author ID (books)","female","635"
"Unione Romana Biblioteche Scientifiche ID","female","620"
"Angelicum ID","male","619"
"SAIA authority ID","male","617"
"Pontificia Università della Santa Croce ID","male","577"
"Tabakalera ID","male","562"
"National Library of Korea ID","male","484"
"NSK ID","male","453"
"Vatican Library ID (former scheme)","female","451"
"Canadiana Name Authority ID","female","450"
"BNB person ID","male","425"
"Rijksmuseum Research Library authority ID","female","411"
"CoBiS author ID","male","361"
"GEPRIS-Historisch ID (Person)","male","354"
"Kallías ID","female","350"
"Biographical Dictionary of the Czech Lands ID","male","335"
"British Museum person or institution ID","male","325"
"SEARCH on line catalogue ID","female","316"
"SBN author ID","female","307"
"Svenska Institutet i Rom ID","female","304"
"Persée author ID","female","298"
"LNB ID","female","283"
"Libraries Australia ID","female","276"
"SELIBR ID","female","276"
"Cyprus University of Technology ID","male","275"
"CTHS person ID","male","271"
"CONOR.BG ID","male","269"
"National Library of Israel ID (old)","female","260"
"Dialnet author ID","male","259"
"NLA Trove people ID","female","257"
"CANTIC ID","female","256"
"University of Barcelona authority ID (obsolete)","female","255"
"Tabakalera ID","female","250"
"Biblioteca Iglesia Nacional Española en Roma ID","male","247"
"Libris-URI","female","238"
"UK National Archives ID","male","237"
"Babelio author ID","female","231"
"General Diamond Catalogue ID","male","225"
"CANTIC ID (old)","female","224"
"Invaluable.com person ID","male","223"
"Academy of Athens authority ID","male","219"
"Museo Galileo authority ID","male","214"
"National Library of Brazil ID","male","211"
"Pontificia Università della Santa Croce ID","female","190"
"Perlentaucher ID","male","184"
"Munzinger person ID","male","179"
"Prabook ID","female","176"
"Open Library ID","female","174"
"Léonore ID","male","171"
"Frick Art Reference Library Artist File ID","male","171"
"SAIA authority ID","female","170"
"Dictionnaire critique des historiens de l'art ID","male","169"
"IMDb ID","male","166"
"NSK ID","female","165"
"WikiTree person ID","male","165"
"artist-info curator ID","male","162"
"PIM authority ID","male","161"
"NSZL (VIAF) ID","male","157"
"NSZL name authority ID","male","157"
"Pontificio Istituto di Archeologia Cristiana ID","female","154"
"Dialnet author ID","female","152"
"Find a Grave memorial ID","male","148"
"Fichier des personnes décédées ID (matchID)","male","148"
"Sejm-Wielki.pl profile ID","male","147"
"Archaeology Data Service person ID","male","146"
"National Library of Korea ID","female","143"
"EBAF authority ID","male","143"
"LinkedIn personal profile ID","female","140"
"ORCID iD","female","138"
"Archives at Yale names ID","male","137"
"Angelicum ID","female","133"
"BNB person ID","female","128"
"Biografisch Portaal van Nederland ID","male","127"
"SNK ID","male","127"
"ORCID iD","male","126"
"Philadelphia Museum of Art entity ID","male","125"
"BHF author ID","male","125"
"NLP ID (old)","female","124"
"SNAC ARK ID","female","123"
"BAnQ author ID","male","123"
"HKCAN ID","male","114"
"Polish scientist ID","male","113"
"Cyprus University of Technology ID","female","113"
"openMLOL author ID","female","107"
"Geni.com profile ID","female","107"
"The Peerage person ID","male","106"
"Archive Site Trinity College Cambridge ID","male","102"
"CONOR.SR ID","female","101"
"Pontifical University of Salamanca ID","male","100"
"Isidore scholar ID","male","93"
"Royal Swedish Academy of Letters member ID","male","90"
"BDELIS ID","male","87"
"Polish scientist ID","female","84"
"Students of Prague Universities ID","male","84"
"National Historical Museums of Sweden agent ID","male","82"
"SICRIS researcher ID","female","81"
"Biblioteche della Custodia di Terra Santa a Gerusalemme ID","male","81"
"Nachlässe in Austria ID","male","80"
"KANTO ID","male","79"
"National Library of Brazil ID","female","78"
"IMDb ID","female","74"
"genealogics.org person ID","male","73"
"Evene ID","male","70"
"ICCD agent ID","male","70"
"Biographical Dictionary of the Czech Lands ID","female","69"
"BHF author ID","female","68"
"Biblioteca Franco Serantini ID","male","68"
"Schoenberg Database of Manuscripts name ID","male","68"
"WBIS ID","male","67"
"Provenio UUID","male","66"
"Teuchos ID","male","65"
"General Diamond Catalogue ID","female","65"
"Biblioteca Iglesia Nacional Española en Roma ID","female","65"
"BAnQ author ID","female","64"
"SIUSA archive producer person ID","male","64"
"Médias 19 ID","male","64"
"BeWeb person ID","male","63"
"Hungarian National Namespace person ID","male","62"
"IDU person ID","male","61"
"Internet Speculative Fiction Database author ID","male","60"
"Edvard Munch's correspondance person ID","male","60"
"LinkedIn personal profile ID","male","59"
"artist-info curator ID","female","58"
"Joconde author ID","male","58"
"Rheinland-Pfälzische Personendatenbank ID","male","57"
"SICRIS researcher ID","male","56"
"TMDb person ID","male","56"
"ČSFD person ID","male","54"
"AADFI member ID","male","54"
"Academic Tree ID","male","53"
"BHL creator ID","male","52"
"RHE doctor ID","male","52"
"PIM authority ID","female","51"
"Perlentaucher ID","female","48"
"Filmportal ID","male","48"
"Encyclopedia of Brno History person ID","male","48"
"Accademia delle Scienze di Torino ID","male","47"
"FranceArchives agent ID","male","47"
"SNK ID","female","47"
"NSZL (VIAF) ID","female","46"
"NSZL name authority ID","female","46"
"CONOR.BG ID","female","46"
"EGAXA ID","male","45"
"Catalogue of the Capitular Library of Verona author ID","male","45"
"Theses.fr person ID","male","44"
"KNAW past member ID","male","43"
"LBT person ID","male","43"
"Union Catalog of Armenian Libraries authority ID","male","43"
"FemBio ID","female","42"
"Athenaeum person ID","male","40"
"National Library of Wales Authority ID","male","40"
"Nobel Prize People Nomination ID","male","40"
"Canadiana Authorities ID (former scheme)","male","39"
"Les Archives du spectacle person ID","male","39"
"Academic Tree ID","female","39"
"Kindred Britain ID","male","39"
"Theses.fr person ID","female","38"
"LIMIS person ID","male","38"
"National Library of Ireland ID","male","38"
"DBC author ID","male","37"
"Norwegian historical register of persons ID","male","37"
"Swedish Portrait Archive ID","male","37"
"AE member ID","male","37"
"Sejm-Wielki.pl profile ID","female","37"
"Patrinum ID","male","37"
"Olschki author ID","male","37"
"LRB contributor ID","male","36"
"IDU person ID","female","36"
"Carl-Maria-von-Weber-Gesamtausgabe ID","male","36"
"Canal-U person ID","male","35"
"French Academy in Rome resident ID","male","35"
"DUC ID","female","35"
"CoBiS author ID","female","35"
"AV Production person ID","male","35"
"EBAF authority ID","female","35"
"Fichier des personnes décédées ID (matchID)","female","34"
"LibriVox author ID","male","33"
"ResearchGate profile ID","female","33"
"Encyclopædia Britannica contributor ID","male","33"
"WikiTree person ID","female","33"
"ZOBODAT person ID","male","33"
"MART catalog person ID","male","33"
"Heidelberg Academy for Sciences and Humanities member ID","male","32"
"KANTO ID","female","32"
"GeneaStar person ID","male","31"
"Museo Galileo authority ID","female","31"
"NSDAP membership number (1925–1945)","male","30"
"Pontifical University of Salamanca ID","female","30"
"ARAE ID","male","30"
"Saxon Academy of Sciences member ID","male","29"
"Amazon author ID","male","29"
"EMLO person ID","male","29"
"Google Scholar author ID","male","29"
"OpenEdition Books author ID","female","29"
"Archaeology Data Service person ID","female","29"
"Companies House officer ID","male","28"
"NYRB contributor ID","male","28"
"Adelphi author ID","male","27"
"YCBA agent ID","male","27"
"Scopus author ID","male","27"
"AcademiaNet ID","female","27"
"Curran Index contributor ID","male","27"
"Le Lettere di Theodor Mommsen agli Italiani ID","male","27"
"Olschki author ID","female","27"
"Enciclopedia di Roma person ID","male","27"
"Amazon author ID","female","26"
"Scopus author ID","female","26"
"OpenEdition Books author ID","male","26"
"Aracne author ID","female","26"
"Académie des Inscriptions et Belles-Lettres member ID","male","25"
"CCAB ID","male","25"
"Google Scholar author ID","female","25"
"ResearchGate profile ID","male","25"
"CONOR.AL ID","male","25"
"vedidk ID","male","25"
"The Peerage person ID","female","24"
"Find a Grave memorial ID","female","23"
"OpenPlaques subject ID","male","23"
"Cambridge Alumni Database ID","male","23"
"UK National Archives ID","female","23"
"Filmový přehled person ID","male","23"
"Portrait Archive ID","male","23"
"Biblioteca di Santa Sabina ID","male","23"
"IRIS SNS author ID","female","23"
"IRIS SNS author ID","male","23"
"ČSFD person ID","female","22"
"Archivio dei possessori ID","male","22"
"IRIS Sapienza author ID","female","22"
"KVAB member ID","male","21"
"Slovak National Library ID (VIAF)","male","21"
"Cairn author ID","female","20"
"GEPRIS person ID","male","20"
"Canadiana Authorities ID (former scheme)","female","20"
"British Museum person or institution ID","female","19"
"Alexander Turnbull Library ID","male","19"
"LombardiaBeniCulturali artwork author ID","male","19"
"vedidk ID","female","19"
"IRIS Sapienza author ID","male","19"
"Cairn author ID","male","18"
"TMDb person ID","female","18"
"Biografisch Portaal van Nederland ID","female","18"
"Sandrart.net person ID","male","18"
"Sächsische Biografie (GND) ID","male","18"
"CERL Thesaurus ID","female","18"
"Hungarian National Namespace person ID","female","18"
"Accademia della Crusca ID","male","17"
"Researchmap ID","male","17"
"zbMATH author ID","male","17"
"Swedish Film Database person ID","male","17"
"MSBI person ID","male","17"
"Encyclopedia of Brno History person ID","female","17"
"BiographySampo person ID","male","17"
"Catalogue of the General State Archives ID","male","17"
"OpenSanctions ID","male","17"
"Electronic Enlightenment ID","male","16"
"French Academy in Rome resident ID","female","16"
"AlloCiné person ID","male","16"
"Danish National Filmography person ID","male","16"
"Art Gallery of South Australia creator ID","male","16"
"COURAGE ID","male","16"
"Aracne author ID","male","16"
"Index of Historic Collectors and Dealers of Cubism ID","male","15"
"BDCYL authority ID","male","15"
"Canal-U person ID","female","15"
"genealogics.org person ID","female","15"
"FamilySearch person ID","male","15"
"NMVW ID","male","15"
"George Eastman Museum people ID","male","15"
"Academy of Athens authority ID","female","15"
"Semantic Scholar author ID","female","14"
"LRB contributor ID","female","14"
"RSL ID (person)","male","14"
"ResearcherID","male","14"
"Masaryk University person ID","male","14"
"Masaryk University person ID","female","14"
"Elonet person ID","male","14"
"PORT person ID","male","14"
"Slovník českých nakladatelství 1848-1949 person ID","male","14"
"Students of Prague Universities ID","female","14"
"GEPRIS-Historisch ID (Person)","female","14"
"AE member ID","female","13"
"EFIS person ID","male","13"
"Český hudební slovník osob a institucí ID","male","13"
"Joods Biografisch Woordenboek ID","male","13"
"Festivaletteratura person ID","male","13"
"St. Sergius Institute authority ID","male","13"
"OpenSanctions ID","female","13"
"Dimensions author ID","male","12"
"Royal Swedish Academy of Letters member ID","female","12"
"DBC author ID","female","12"
"Semantic Scholar author ID","male","12"
"Académie française member ID","male","12"
"Encyklopedia Teatru Polskiego person ID","male","12"
"BIU Santé person ID","male","12"
"NYRB contributor ID","female","12"
"ResearcherID","female","12"
"Internet Speculative Fiction Database author ID","female","12"
"Filmportal ID","female","12"
"SIUSA archive producer person ID","female","12"
"Paměť národa ID","male","12"
"LiederNet composer ID","male","12"
"Hyperion Records person ID","male","12"
"MYmovies person ID","male","12"
"IDIH ID","male","11"
"Harvard Index of Botanists ID","male","11"
"Radio Radicale person ID","male","11"
"Invaluable.com person ID","female","11"
"CTHS person ID","female","11"
"Estonian Research Portal person ID","female","11"
"Amburger database ID","male","11"
"National Historical Museums of Sweden agent ID","female","11"
"LTit person ID","male","11"
"Podchaser creator ID","male","11"
"e-Rad researcher number","male","11"
"FLORE author ID","male","11"
"PictoRight ID code","male","11"
"Académie de Versailles member ID","male","10"
"Dimensions author ID","female","10"
"KVAB member ID","female","10"
"PARES ID","male","10"
"Rodovid ID","male","10"
"Munzinger person ID","female","10"
"Austrian Parliament 1848–1918 ID","male","10"
"WBIS ID","female","10"
"Archivio Storico Ricordi person ID","male","10"
"AAGM person or institution ID","male","10"
"Archives at Yale names ID","female","10"
"OsobnostiRegionu.cz ID","male","10"
"MovieMeter person ID","male","10"
"Biblioteche della Custodia di Terra Santa a Gerusalemme ID","female","10"
"AADFI member ID","female","10"
"Franciscan Center of Christian Oriental Studies ID","male","10"
"ARPI author ID","male","10"
"Isidore scholar ID","female","9"
"GEPRIS person ID","female","9"
"Flanders Arts Institute person ID","male","9"
"Companies House officer ID","female","9"
"LONSEA ID","male","9"
"Entomologists of the World ID","male","9"
"BD Gest' author ID","male","9"
"Database of Classical Scholars ID","male","9"
"CRIStin ID","female","9"
"Estonian biographical database ID","male","9"
"Slovak National Library ID (VIAF)","female","9"
"Philadelphia Museum of Art entity ID","female","9"
"Archive Site Trinity College Cambridge ID","female","9"
"Union Catalog of Armenian Libraries authority ID","female","9"
"Order of Canada recipient ID","male","9"
"AV Production person ID","female","9"
"Catalogue of the Capitular Library of Verona author ID","female","9"
"Istituto Veneto di Scienze, Lettere ed Arti member ID","male","9"
"Evene ID","female","8"
"Canal Académie ID","male","8"
"Muck Rack journalist ID","male","8"
"WeRelate person ID","male","8"
"Australian Women's Register ID","female","8"
"BVPB authority ID","male","8"
"EPHE ID","male","8"
"Académie des sciences d'outre-mer member ID","male","8"
"Mathematics Genealogy Project ID","male","8"
"NLC authorities","male","8"
"BBF ID","male","8"
"Encyclopædia Britannica contributor ID","female","8"
"Kindred Britain ID","female","8"
"EFIS person ID","female","8"
"Nachlässe in Austria ID","female","8"
"CONOR.AL ID","female","8"
"Cinémathèque québécoise person ID","male","8"
"Biblioteca di Santa Sabina ID","female","8"
"MacArthur Fellows Program ID","male","8"
"IRIS UNINA author ID","male","8"
"SNSF person ID","male","8"
"PGM author ID","male","8"
"National Library of Ireland ID","female","8"
"HKCAN ID","female","7"
"ResearchGate contributions ID","female","7"
"Académie royale de Belgique member ID","male","7"
"Publons author ID","male","7"
"Merkelstiftung person ID","male","7"
"Researchmap ID","female","7"
"Akadem person ID","male","7"
"Medicina author ID","male","7"
"EDIT16 catalogue author ID","male","7"
"HelveticArchives ID","male","7"
"DVN ID","female","7"
"MTMT author ID","male","7"
"Grace's Guide ID","male","7"
"Marburger Professorenkatalog ID","male","7"
"HAS member ID","male","7"
"COURAGE ID","female","7"
"Aozora Bunko author ID","male","7"
"Filmový přehled person ID","female","7"
"ASUT ID","male","7"
"Gateway to Research person ID","female","7"
